Aug 21 15:04:44 <quantumsummers>	1> Roll Call
Aug 21 15:04:49 *	quantumsummers is present
Aug 21 15:04:51 <dabbott>	here
Aug 21 15:05:00 <rich0>	here
Aug 21 15:05:20 <quantumsummers>	robbat2: you are here
Aug 21 15:05:42 <quantumsummers>	2> who is logging and going to publish?
Aug 21 15:05:45 <robbat2>	here
Aug 21 15:05:50 <quantumsummers>	:)
Aug 21 15:06:00 <quantumsummers>	2> who is logging and going to publish?
Aug 21 15:06:06 <dabbott>	i can
Aug 21 15:06:09 <quantumsummers>	thanks
Aug 21 15:06:20 <quantumsummers>	3> Treasurer's report
Aug 21 15:06:53 <quantumsummers>	I have submitted this report with a minor mis-calculation for review
Aug 21 15:07:24 <quantumsummers>	Further, I will make all data available in a few formats for archival and informational purposes
Aug 21 15:07:39 <quantumsummers>	what I have is the following: all paypal data for all time in csv and ods
Aug 21 15:07:57 <quantumsummers>	all capital one statements in pdf and ods
Aug 21 15:08:05 <quantumsummers>	all ing statements in pdf and ods
Aug 21 15:08:12 <quantumsummers>	that covers all our accounts
Aug 21 15:08:21 <robbat2>	+1
Aug 21 15:08:50 <dabbott>	can you post a report with links like http://www.gentoo.org/foundation/en/finances/2010-treasurer-report.xml
Aug 21 15:09:16 <dabbott>	we can add it to http://www.gentoo.org/foundation/en/finances/
Aug 21 15:09:32 <quantumsummers>	dabbott I can do that. I wondered about the format 
Aug 21 15:09:53 <quantumsummers>	what was done previously is more of a narrative
Aug 21 15:10:03 <quantumsummers>	I can write the report in narrative form I suppose
Aug 21 15:10:11 <quantumsummers>	as well as keeping the data tabular
Aug 21 15:10:31 <rich0>	Honestly, I'd probably just write an intro or whatever.  The data speaks for itself.  No sense burdening ourselves with too much boilerplate.
Aug 21 15:10:33 <dabbott>	just so we can find the info, main think is links to the pdf etc in one place
Aug 21 15:10:57 <quantumsummers>	rich0: makes sense, something of an executive summary
Aug 21 15:11:14 <quantumsummers>	dabbott I will guildexml-ify the info in the pdf
Aug 21 15:11:31 <quantumsummers>	that was just for ease of access for you guys to review
Aug 21 15:11:40 <quantumsummers>	that I emailed in that format
Aug 21 15:12:37 <quantumsummers>	there is a known error somewhere in there. I have not had much luck in tracking it down. Its small by comparison, so I am not terribly troubled by it
Aug 21 15:14:21 <robbat2>	FYI all, i'm intending on producing a copy of the data into the Ledger format to reconcile it and give it my own set of eyes
Aug 21 15:14:32 <quantumsummers>	robbat2: thanks
Aug 21 15:14:36 <robbat2>	from the original statements + paypal data
Aug 21 15:14:49 <dabbott>	we will need a motion to accept the report but need to link to it so we can do that next month 
Aug 21 15:14:54 <quantumsummers>	I have a python script that may help the paypal conversion to ofx
Aug 21 15:15:46 <quantumsummers>	I propose a motion to provisionally accept the report as it stands with the addition of a summary and correction of the minor error as work in progress
Aug 21 15:15:56 <robbat2>	seconded
Aug 21 15:15:59 <quantumsummers>	and xml-ification
Aug 21 15:16:08 <quantumsummers>	Please vote, gentlemen
Aug 21 15:16:13 <robbat2>	aye
Aug 21 15:16:17 <quantumsummers>	aye
Aug 21 15:16:27 <rich0>	aye
Aug 21 15:16:28 <dabbott>	ok
Aug 21 15:16:39 <quantumsummers>	Motion has passed. Let it be so.
Aug 21 15:17:00 <quantumsummers>	3> Special Motion to move the AGM from April to August
Aug 21 15:17:37 <quantumsummers>	keeping the same 3rd Sunday of the month 
Aug 21 15:17:40 <robbat2>	to clarify, this means the next AGM will be august 2012, or is it this present august
Aug 21 15:17:53 <quantumsummers>	Next
Aug 21 15:17:58 <quantumsummers>	we already had our AGM this year
Aug 21 15:18:23 <quantumsummers>	this meeting is an extraordinary general meeting, in addition to the previous AGM 
Aug 21 15:18:36 <dabbott>	the by-lays state not more than 13 months Why not have the AGM today and then again next Aug to satisfy Section 3.2. in the by-laws. http://www.gentoo.org/foundation/en/BylawsAdopted.xml#doc_chap3
Aug 21 15:18:58 <quantumsummers>	Yes, that is what we are doing with the EGM
Aug 21 15:19:01 <rich0>	Is there any issue of meeting notice?  Do we have to announce it?
Aug 21 15:19:25 <dabbott>	quantumsummers, great :)
Aug 21 15:19:35 <quantumsummers>	rich0: we already did, I belive
Aug 21 15:19:42 <quantumsummers>	we announce every meeting
Aug 21 15:19:45 <robbat2>	right, i see it now. since the EGM is today, and it's only 12 months to next August, that covers the bylaws
Aug 21 15:19:48 <rich0>	Yeah, I was trying to remember if I had seen something.  It is in IRC for sure.
Aug 21 15:20:19 <robbat2>	I second the motion
Aug 21 15:20:19 <quantumsummers>	rich0: it would be fine to also post to ML (foundation-announce)
Aug 21 15:20:26 <quantumsummers>	robbat2: thanks
Aug 21 15:20:33 <quantumsummers>	Please vote now:
Aug 21 15:20:40 <robbat2>	aye
Aug 21 15:20:41 <rich0>	aye
Aug 21 15:20:42 <quantumsummers>	aye
Aug 21 15:20:47 <dabbott>	yes
Aug 21 15:20:56 <quantumsummers>	Motion passed, Let it be so.
Aug 21 15:21:11 <quantumsummers>	Therefore, the next AGM will be held in August 2012
Aug 21 15:21:33 <quantumsummers>	the exact date to be decided and announced
Aug 21 15:21:38 <quantumsummers>	at a later date
Aug 21 15:21:58 <quantumsummers>	4.1> Date of Next Meeting - 18th Sep 2011 19:00 UTC
Aug 21 15:22:02 <quantumsummers>	wfm
Aug 21 15:22:19 <quantumsummers>	fellows, will that date and time work for everyone?
Aug 21 15:22:31 <dabbott>	fine here
Aug 21 15:22:31 <rich0>	fine by me
Aug 21 15:22:37 <robbat2>	fine by me
