<quantumsummers_>	1) Roll Call.
Jan 15 14:01:45 <rich0>	here
Jan 15 14:01:47 <dabbott>	present 
Jan 15 14:01:51 <NeddySeagoon>	My body is here, my mind is still in UTC-6
Jan 15 14:02:17 <quantumsummers_>	NeddySeagoon: that is where I am, well -7 I guess
Jan 15 14:02:20 <NeddySeagoon>	I guess I'm logging too
Jan 15 14:02:20 <quantumsummers_>	robbat2: ping
Jan 15 14:02:24 <quantumsummers_>	cool
Jan 15 14:02:55 <quantumsummers_>	we have quorum
Jan 15 14:03:03 <quantumsummers_>	NeddySeagoon: thanks for  logging
Jan 15 14:03:09 <NeddySeagoon>	np
Jan 15 14:03:15 <quantumsummers_>	3) Old Business
Jan 15 14:03:29 <quantumsummers_>	Gentoo Logo Usage Policy
Jan 15 14:03:42 <quantumsummers_>	At the last meeting I posted to the -nfp list
Jan 15 14:04:06 <NeddySeagoon>	I didn't see any responses 
Jan 15 14:04:22 <quantumsummers_>	there have been 2 reponses
Jan 15 14:04:43 <quantumsummers_>	orig msg http://archives.gentoo.org/gentoo-nfp/msg_2a11b1233168b157b0af53674e743ed6.xml
Jan 15 14:05:24 <quantumsummers_>	Dale and rich0 were the responding parties
Jan 15 14:05:27 <rich0>	Ok, I don't think that is really anything actionable.
Jan 15 14:05:31 <quantumsummers_>	no\
Jan 15 14:06:02 <quantumsummers_>	So, in a sense, we have no additional input from our community
Jan 15 14:06:20 <NeddySeagoon>	yes
Jan 15 14:06:34 <quantumsummers_>	I think the way forward here is to post some policy document to everyone for review
Jan 15 14:06:38 <rich0>	or a big input of "whatever..."
Jan 15 14:06:44 <quantumsummers_>	-core -dev
Jan 15 14:07:01 <rich0>	Agreed - I think we've talked through many of the issues and have a sense for where we want to be.
Jan 15 14:07:04 <quantumsummers_>	surely there will be more than that, given our esteemed heritage of bike shedding
Jan 15 14:07:17 <quantumsummers_>	by our I mean all devs, of course
Jan 15 14:07:19 <quantumsummers_>	:)
Jan 15 14:07:30 <NeddySeagoon>	-foundation-annouce and -nfp  
Jan 15 14:07:33 <quantumsummers_>	rich0: glad we agree
Jan 15 14:07:38 <rich0>	Do it at the same time as a all-in-/usr thread and that will take the heat off.
Jan 15 14:07:51 <quantumsummers_>	rich0: heh, yes
Jan 15 14:08:08 <NeddySeagoon>	heh
Jan 15 14:08:28 <quantumsummers_>	Now, who wants take the jop of  writing the draft?
Jan 15 14:08:35 <quantumsummers_>	any volunteers?
Jan 15 14:08:47 <quantumsummers_>	who wants to lead the effort?
Jan 15 14:09:06 <rich0>	My activity tracker is wrapping up, so I could step up on something else.
Jan 15 14:09:12 <NeddySeagoon>	my time is going to be limited until at least June/July
Jan 15 14:09:19 <dabbott>	what would you change from the current policy
Jan 15 14:09:38 <quantumsummers_>	rich0: please take the task.
Jan 15 14:09:52 <quantumsummers_>	rich0: write your draft, then pass it around to the board
Jan 15 14:10:06 <rich0>	Ok, I'll take it.  I'd probably try to base the new policy on one of the other distros and incorporate both copyright and trademark into a cohesive policy.
Jan 15 14:10:10 <quantumsummers_>	dabbott: I think its really only to refine the commercial usage, per previous discussions
Jan 15 14:10:24 <rich0>	It would be fairly debian-like, except that we're not allowing commercial use as they do.
Jan 15 14:10:33 <rich0>	(For pressing CDs, etc.)
Jan 15 14:10:40 <quantumsummers_>	rich0: that sounds fine, we just want to remain as backwards compatible with the current policy where possible
Jan 15 14:11:09 <rich0>	Yup - I think our current policy is already fairly close.  The goal will be to avoid disrupting anybody already making use of the current policy.
Jan 15 14:11:16 <rich0>	I'll send out something in a week or two.
Jan 15 14:11:21 *	rich0 crosses fingers...
Jan 15 14:11:27 <dabbott>	thanks rich0 
Jan 15 14:11:32 <quantumsummers_>	dabbott: are you fine with discussing the actual drafts via email?
Jan 15 14:11:42 <quantumsummers_>	I am sure rich0 would welcome feedback from trustees
Jan 15 14:11:43 <dabbott>	sure
Jan 15 14:11:45 <NeddySeagoon>	the new policy should not be retrospective
Jan 15 14:12:02 <quantumsummers_>	right, current agreements must be honored
Jan 15 14:12:44 <rich0>	Sure, although we might not put that in writing.  We'll have to figure that out.
Jan 15 14:13:11 <quantumsummers_>	rich0: lets worry about that after we have a good draft for the current policy
Jan 15 14:13:12 <quantumsummers_>	anything else on this topic?
Jan 15 14:14:22 <NeddySeagoon>	not from me
Jan 15 14:14:32 <quantumsummers_>	ok. looking forward to reading the draft
Jan 15 14:14:47 <quantumsummers_>	SFLC 
Jan 15 14:15:51 <quantumsummers_>	that one, I emailed Ravicher after the last meeting and have received no response. I'll keep trying him, perhaps the holidays caused delay
Jan 15 14:16:58 <quantumsummers_>	Financial and Legal status: I communicated with our agent in NM and passed along the info regarding our receipt, etc
Jan 15 14:17:25 <NeddySeagoon>	our 30 days must be up now ?
Jan 15 14:17:28 <quantumsummers_>	Heather stated she would contact me again when she received some communication from NMPRC
Jan 15 14:17:36 <quantumsummers_>	NeddySeagoon: we made the deadline, no problem
Jan 15 14:17:45 <NeddySeagoon>	thanks
Jan 15 14:18:01 <quantumsummers_>	NeddySeagoon: we have certified mail receipt that proves it
Jan 15 14:18:10 <NeddySeagoon>	even better
Jan 15 14:18:14 <quantumsummers_>	now its in processing, I assume. I have not looked at the site
Jan 15 14:18:29 <dabbott>	still the same as today
Jan 15 14:18:41 <quantumsummers_>	dabbott: thanks for checking.
