Mar 18 15:10:25 <rich0>	Ok, I can chair...
Mar 18 15:10:32 <rich0>	Roll call...
Mar 18 15:10:37 <robbat2>	we can give it a quick spin of meeting items
Mar 18 15:10:41 <robbat2>	present
Mar 18 15:10:45 <dabbott>	here
Mar 18 15:10:56 <rich0>	Ok
Mar 18 15:11:05 <rich0>	I'm logging - I'm sure others are as well.
Mar 18 15:11:06 <dabbott>	i am logging
Mar 18 15:11:11 <rich0>	Excellent
Mar 18 15:11:24 <rich0>	Old business - logo policy.
Mar 18 15:11:49 <rich0>	I have not had a chance to post anything yet.  I did note a ping on a bug regarding the copyright on the logo.
Mar 18 15:11:59 <rich0>	Probably best to defer that to the new policy.
Mar 18 15:12:03 <rich0>	Anything else on that topic?
Mar 18 15:12:13 <robbat2>	nothing else
Mar 18 15:12:23 <dabbott>	nope
Mar 18 15:12:38 <rich0>	(FYI - anyone else who wants to take a stab at it is welcome to do so, but I haven't given up...)
Mar 18 15:12:50 <rich0>	Ok, anything on SFLC?
Mar 18 15:13:00 <robbat2>	if/when i get around to the privacy policy i might do logos at the same time
Mar 18 15:13:19 <rich0>	robbat2, by all means go ahead if you get to it first.
Mar 18 15:13:53 <dabbott>	quantumsummers, did note he got a positive response from SFLC
Mar 18 15:14:15 <rich0>	Excellent - glad to see that seems to be moving forward again.
Mar 18 15:14:30 <rich0>	Maybe by the time we have a new logo policy there will be somebody to review it for us.  :)
Mar 18 15:15:15 <rich0>	Any other details worth sharing, otherwise we can let quantumsummers give us the full run-down next month.
Mar 18 15:16:21 <rich0>	Ok, if not, skipping down to the activity tracker, only thing worth mentioning is that we're coming up on the 990 due date - assuming it isn't already filed.
Mar 18 15:16:35 <rich0>	If it is feel free to update the last-performed and next-due info.
Mar 18 15:17:08 <rich0>	I imagine we'll need an update from quantumsummers on that...
Mar 18 15:17:26 <rich0>	Any questions on the activity tracker?
Mar 18 15:17:56 <robbat2>	none from me
Mar 18 15:18:00 <rich0>	Ok, then moving on...
Mar 18 15:18:05 <rich0>	Bugs...
Mar 18 15:18:30 <dabbott>	looks like the same from last month
Mar 18 15:19:04 <rich0>	Yes - skimming now...
Mar 18 15:19:12 <rich0>	I see notecase-pro is masked
Mar 18 15:19:12 <robbat2>	bug 399397 needs action
Mar 18 15:19:39 <rich0>	Didn't we ask them for a formal proposal?
Mar 18 15:19:50 <dabbott>	yes
Mar 18 15:20:00 <rich0>	So, we're still waiting for a response, yes?
Mar 18 15:20:01 <dabbott>	tampakrap, ^^
Mar 18 15:20:42 <dabbott>	it is his minion :)
Mar 18 15:21:20 <rich0>	I can do a quick reply-all to the Jan 19th email reminding them that we're willing to evaluate any proposal.
Mar 18 15:21:32 <dabbott>	++
Mar 18 15:21:48 <robbat2>	i updated 399209 and 389989. I think reimbursement was sent to antarus on them, but i don't know if he got it yet
Mar 18 15:22:17 <tampakrap>	hi
Mar 18 15:22:47 <rich0>	tampakrap, just sent you an email
Mar 18 15:22:57 *	ABCD (~quassel@gentoo/developer/abcd) has joined #gentoo-trustees
Mar 18 15:23:01 <rich0>	Are you still planning to write up a proposal for FOSSCON?
Mar 18 15:23:05 <tampakrap>	you will have more news soon, we had a meeting as gentoo greek community, the guys are in the process of finding a good price to print the materials
Mar 18 15:23:39 <rich0>	Excellent - and you don't necessarily need the exact figures to get approval.
Mar 18 15:23:50 <tampakrap>	noted
Mar 18 15:23:55 <rich0>	You'll need the receipts for actual reimbursement, but as long as you're within the approved budget you'll be fine.
Mar 18 15:24:53 <tampakrap>	sure, thank you
Mar 18 15:25:03 <rich0>	you're welcome - thanks for organizing!
Mar 18 15:25:17 <robbat2>	bug 403701, i committed it
Mar 18 15:25:17 <willikins>	robbat2: https://bugs.gentoo.org/403701 "dev-games/hawknl-1.68-r1 invalid ebuild header"; Gentoo Linux, Ebuilds; CONF; ulm:qa
Mar 18 15:25:18 <tampakrap>	(I don't live in Greece any more, I can just poke people and act as a middle man)
