Apr 15 15:00:10 <NeddySeagoon>	rool Call
Apr 15 15:00:12 <dabbott>	that close by me
Apr 15 15:00:16 <NeddySeagoon>	Roll*
Apr 15 15:00:19 <dabbott>	that is
Apr 15 15:00:24 *	quantumsummers|c is present
Apr 15 15:00:31 <quantumsummers|c>	dabbott: I thought it might be
Apr 15 15:00:33 <dabbott>	also here
Apr 15 15:00:35 <quantumsummers|c>	nice area
Apr 15 15:00:41 <NeddySeagoon>	I'm loggig but can't post the log :(   don't ask
Apr 15 15:00:51 <dabbott>	i can
Apr 15 15:00:59 <robbat2>	hi
Apr 15 15:01:00 <dabbott>	untill i bust this box
Apr 15 15:01:06 <robbat2>	present
Apr 15 15:01:15 <quantumsummers|c>	hi robbat2
Apr 15 15:01:20 <NeddySeagoon>	thanks dabbott 
Apr 15 15:01:25 <quantumsummers|c>	where's mah steak
Apr 15 15:01:31 <NeddySeagoon>	rich0, ?
Apr 15 15:01:47 <rich0>	here
Apr 15 15:01:53 <rich0>	Sorry, alt-tabbed :)
Apr 15 15:01:56 <NeddySeagoon>	OK, we have a quorum - no need to wait
Apr 15 15:02:16 <NeddySeagoon>	Funding Request for Fosscomm 2012
Apr 15 15:02:48 <NeddySeagoon>	I don't see us funding much more than decorations for a stand and DVDs
Apr 15 15:03:17 <NeddySeagoon>	that would include T-Shirts for those manning the stand
Apr 15 15:03:24 <rich0>	Tend to agree.  Anything beyond that would have to be special circumstances
Apr 15 15:03:35 <quantumsummers|c>	do we have a budget amount in mind?
Apr 15 15:03:48 <quantumsummers|c>	something like $500 or similar
Apr 15 15:03:53 <dabbott>	they just want DVD's, stickers and flyers
Apr 15 15:04:19 <quantumsummers|c>	ah $350
Apr 15 15:04:19 <dabbott>	Fosscomm 2012 - 200 dvds - 300 stickers - 300 flyers
Apr 15 15:04:29 <robbat2>	the amounts in the their table add to 220EUR, and they asked for 270EUR budget
Apr 15 15:04:31 <quantumsummers|c>	comment 2 has a figure
Apr 15 15:04:36 <quantumsummers|c>	in USD
Apr 15 15:04:59 <NeddySeagoon>	dabbott, that works -  its easiest if the stuff is procured locally.  Then we avoid customs and international shipping hassels
Apr 15 15:05:18 <quantumsummers|c>	they should be able to handle that, I would think
Apr 15 15:05:22 <quantumsummers|c>	is tampakrap around?
Apr 15 15:05:27 <dabbott>	thats the plan comment 3
Apr 15 15:05:27 <tampakrap>	yep
Apr 15 15:05:35 <quantumsummers|c>	seems reasonable
Apr 15 15:05:44 <tampakrap>	give me a min to read backlog
Apr 15 15:05:52 <quantumsummers|c>	I think we should make one of them write a PR article or two for us :)
Apr 15 15:06:02 <dabbott>	++
Apr 15 15:06:04 <NeddySeagoon>	quantumsummers, seems fair
Apr 15 15:06:10 <quantumsummers|c>	just so we get some exposure, etc
Apr 15 15:06:17 <dabbott>	and pictures
Apr 15 15:06:29 <quantumsummers|c>	two (a before and an after)
Apr 15 15:06:34 <quantumsummers|c>	with images
Apr 15 15:06:45 <quantumsummers|c>	for to promote the glory of ze gentoo
Apr 15 15:06:47 <quantumsummers|c>	:D
Apr 15 15:06:56 <tampakrap>	yes don't worry about that
