Oct 20 15:02:24 <NeddySeagoon>	roll call
Oct 20 15:02:28 <dabbott>	here
Oct 20 15:02:56 <NeddySeagoon>	Betelgeuse, quantumsummers|c SwifT 
Oct 20 15:02:57 <Betelgeuse>	here
Oct 20 15:03:18 <SwifT>	here
Oct 20 15:03:20 <NeddySeagoon>	My logger is here
Oct 20 15:03:36 <dabbott>	me also
Oct 20 15:03:59 <NeddySeagoon>	We have a quorum ... lets start
Oct 20 15:04:23 <NeddySeagoon>	Annual Report NM DUE Oct/Nov  
Oct 20 15:04:43 <NeddySeagoon>	dabbott, is that yours ?
Oct 20 15:04:53 <dabbott>	we can efile i sent the info to quantumsummers|c so he can login and pay
Oct 20 15:05:16 <dabbott>	if nothing happens by the first I will do it
Oct 20 15:05:51 <NeddySeagoon>	ok - the action is with quantumsummers|c 
Oct 20 15:06:19 <dabbott>	I think it is better to pay from the gentoo account not my personal
Oct 20 15:06:29 <NeddySeagoon>	Treasurer Report -> quantumsummers|c again  ?
Oct 20 15:06:45 <NeddySeagoon>	dabbott, agreed
Oct 20 15:07:37 <NeddySeagoon>	Foundation Activity Tracker  only te report due ?
Oct 20 15:08:17 <dabbott>	yep
Oct 20 15:09:07 <NeddySeagoon>	the financial stuff needs quantumsummers|c 
Oct 20 15:09:34 <NeddySeagoon>	Item 4 bugs
Oct 20 15:11:22 <NeddySeagoon>	Are there any pressing items ?
Oct 20 15:12:19 <NeddySeagoon>	SwifT, Betelgeuse dabbott ^^
Oct 20 15:12:25 <SwifT>	no, nothing that I see
Oct 20 15:12:40 <SwifT>	the Steven bug (cfr also emails) can be closed afaik
Oct 20 15:12:48 <dabbott>	yes
Oct 20 15:12:51 <SwifT>	he was accepted in in the previous meeting
Oct 20 15:12:51 <NeddySeagoon>	agreed
Oct 20 15:13:34 <NeddySeagoon>	care to update te bug ?
Oct 20 15:13:47 <dabbott>	Morphodo may be done, Robin was handling it afaik
Oct 20 15:14:18 <SwifT>	sure, I'll close and welcome Steven in the bug
Oct 20 15:14:22 <dabbott>	LeaseWeb is done I can close it
Oct 20 15:14:48 <NeddySeagoon>	dabbott, thanks
Oct 20 15:15:08 <NeddySeagoon>	5. New Business - None
Oct 20 15:15:25 <NeddySeagoon>	Cleanup
Oct 20 15:15:36 <NeddySeagoon>	Date of Next Meeting - 17 Nov 2013 19:00 UTC
Oct 20 15:15:40 <NeddySeagoon>	wfm
Oct 20 15:15:46 <dabbott>	Fine here
Oct 20 15:15:51 <SwifT>	yup
Oct 20 15:16:03 <NeddySeagoon>	Betelgeuse, ?
Oct 20 15:16:26 <Betelgeuse>	NeddySeagoon: just a minute
Oct 20 15:16:28 <Betelgeuse>	need to find my phone
Oct 20 15:16:38 <NeddySeagoon>	ok
Oct 20 15:17:42 <Betelgeuse>	NeddySeagoon: time ok
Oct 20 15:17:57 <NeddySeagoon>	Any other business ...
