Dec 15 14:00:08 <NeddySeagoon>	Roll call
Dec 15 14:00:34 <NeddySeagoon>	dabbott, SwifT quantumsummers|c 
Dec 15 14:00:36 <dabbott>	I'm logging too, present
Dec 15 14:00:50 <NeddySeagoon>	SwifT, said he may not make it
Dec 15 14:00:51 <SwifT>	make it just in time
Dec 15 14:00:52 <quantumsummers|c>	hello
Dec 15 14:00:52 <dabbott>	SwifT: said he is on the road
Dec 15 14:01:01 <SwifT>	just have to take my coat off
Dec 15 14:01:09 <dabbott>	sorry SwifT hello :)
Dec 15 14:01:13 <SwifT>	np
Dec 15 14:01:23 <NeddySeagoon>	We have a quorum - lets start
Dec 15 14:01:24 <SwifT>	and I still drove within the limits :p
Dec 15 14:01:30 *	quantumsummers|c may have to run off to manage kids from time to time
Dec 15 14:02:00 <dabbott>	hi quantumsummers|c Betelgeuse o/
Dec 15 14:02:14 <NeddySeagoon>	Foundation Activity Tracker - looks like everything is up to date
Dec 15 14:02:48 <NeddySeagoon>	dabbott, Quarterly Financial Statements ...
Dec 15 14:03:17 <dabbott>	I put together that wiki page for review, is this what we want to do?
Dec 15 14:03:41 <dabbott>	if it is just need the numbers to proceed
Dec 15 14:03:57 <NeddySeagoon>	dabbott, looks good to me.  Do yo intend to bigrate the history?
Dec 15 14:04:07 <quantumsummers|c>	working on packaging them now dabbott
Dec 15 14:04:09 <NeddySeagoon>	migrate*
Dec 15 14:04:09 <dabbott>	yes
Dec 15 14:04:27 <dabbott>	quantumsummers|c: sounds good :)
Dec 15 14:05:09 <NeddySeagoon>	quantumsummers|c, your turn ...  Treasurer Report  (I missed that)
Dec 15 14:06:47 *	SwifT guesses one of his kids ran off ;)
Dec 15 14:07:24 <dol-sen>	if he says we have $15M, I change my mind about that desk ;)
Dec 15 14:07:26 <NeddySeagoon>	looks lke quantumsummers|c is rounding up children ... Swift your turn Gentoo Trademark License Agreement
Dec 15 14:07:33 <quantumsummers|c>	well we dont have that 
Dec 15 14:07:46 <SwifT>	quantumsummers|c: the floor is yours
Dec 15 14:08:23 <quantumsummers|c>	gonna have to come back .. runs
Dec 15 14:08:34 <SwifT>	ok, i'll do a bit on the trademark license then 
Dec 15 14:08:45 <SwifT>	I wrote up a new text based on the django one and sent it to you guys
Dec 15 14:08:46 <NeddySeagoon>	hes outnumbered  :)
Dec 15 14:09:01 <SwifT>	i have a few things I'm not certain about, mentioned as notes in the document
Dec 15 14:09:35 <SwifT>	the most important one is to know if the new license has at least the same things are the current one
Dec 15 14:10:02 <SwifT>	if it does, then there is no issue with people/orgnizations that based the name/logo usage on the previous (well, current ;-) license
Dec 15 14:10:03 <NeddySeagoon>	SwifT, I only have some trivia ... but I'm nervous about the council representing Gentoo
Dec 15 14:10:28 <SwifT>	I could drop that part; Django had something like that so I just copied ;)
Dec 15 14:11:13 <NeddySeagoon>	We can say that existing licenced activities are not affcted
Dec 15 14:11:57 <SwifT>	so keep the current one (albeit with a marking that it is no longer applicable to new applications) and refer to it for the previous applications (that predate the new license)
