Mar 15 15:00:13 <NeddySeagoon>	Roll call
Mar 15 15:00:19 <NeddySeagoon>	antarus, ?
Mar 15 15:01:28 <NeddySeagoon>	We have three - lets start.  antarus is on DST so he probably wont be here for an hour, or he turned up an hour ago ...
Mar 15 15:01:37 <alsoSwifT>	hehe
Mar 15 15:01:56 <alsoSwifT>	a few more weeks and it's our turn :-
Mar 15 15:02:02 <NeddySeagoon>	It looks like my logger is here twice, so I may have logs
Mar 15 15:02:19 <alsoSwifT>	ah, Famous* is yours?
Mar 15 15:02:39 <NeddySeagoon>	alsoSwifT, yes, another goon show character
Mar 15 15:03:08 <NeddySeagoon>	 IRS Return 990 - was done in good time - seet the alias
Mar 15 15:03:40 <antarus>	rolll calll
Mar 15 15:03:49 <alsoSwifT>	here he is
Mar 15 15:03:51 <NeddySeagoon>	Activity Tracker - It could do with an update but there is nothing outstanding
Mar 15 15:03:51 <antarus>	I am here
Mar 15 15:04:25 <NeddySeagoon>	hey antarus, I thought you fell into the DST trap.  Welcome 
Mar 15 15:04:41 <antarus>	one can only miss so many meetings ;)
Mar 15 15:05:21 <NeddySeagoon>	dabbott, can you give the Activity Tracker a spring clean please ?  Everything is up to date but it doesn't read that way
Mar 15 15:05:46 <dabbott>	sure will do
Mar 15 15:05:57 <NeddySeagoon>	Betelgeuse, you have the floor ... Gentoo Copyright Policy 
Mar 15 15:06:03 <NeddySeagoon>	dabbott, thanks
Mar 15 15:06:30 <Betelgeuse>	NeddySeagoon: no news
Mar 15 15:06:33 <antarus>	I texted quantumsummers, fwiw ;)
Mar 15 15:06:37 <Betelgeuse>	NeddySeagoon: next item
Mar 15 15:06:57 <Betelgeuse>	Though I might use this to ask quickly about the anon developer request
Mar 15 15:07:05 <Betelgeuse>	Because it concerns copyrights
Mar 15 15:07:13 <Betelgeuse>	Anyone disagree with my response on the email?
Mar 15 15:07:35 <Betelgeuse>	On the topic that as long as Foundation knows devs name, we have no need to communicate externally
Mar 15 15:07:36 <NeddySeagoon>	Betelgeuse, its not an issue.  Anon devs cannot be Foundation Officers is all
Mar 15 15:07:49 <alsoSwifT>	the one about only disclosing name to a few people? no, don't disagree on that
Mar 15 15:07:57 <antarus>	no disagreement
Mar 15 15:08:08 <NeddySeagoon>	Betelgeuse, correct. In case we get a writ to disclose it
Mar 15 15:08:08 <Betelgeuse>	Is the Foundation membership list public info?
Mar 15 15:08:32 <NeddySeagoon>	Betelgeuse, yes - thats required by law
