**** BEGIN LOGGING AT Sun Sep 13 12:03:51 2009

Sep 13 12:03:51 quantumsummers|c	robbat2|na: ping :)
Sep 13 12:04:35 quantumsummers|c	tsunam, dabbott, we have quorum I believe
Sep 13 12:04:46 tsunam	barely but do
Sep 13 12:04:50 dabbott	yes
Sep 13 12:05:13 quantumsummers|c	I think we need to choose a Vice Chair.
Sep 13 12:05:35 dabbott	who wants it
Sep 13 12:05:52 quantumsummers|c	hmm
Sep 13 12:06:31 tsunam	I'm already holding one position so I shouldn't
Sep 13 12:07:11 dabbott	I nominate quantumsummers|c 
Sep 13 12:07:23 *	quantumsummers|c is now known as quantumsummers
Sep 13 12:07:41 quantumsummers	I accept
Sep 13 12:07:57 tsunam	all those in favor
Sep 13 12:08:06 dabbott	I
Sep 13 12:08:09 tsunam	aye
Sep 13 12:08:25 quantumsummers	yes
Sep 13 12:08:44 tsunam	well as that's everyone here..there's no opposals 
Sep 13 12:09:03 tsunam	motion caries
Sep 13 12:09:08 robbat2|na	pong
Sep 13 12:09:10 quantumsummers	thanks
Sep 13 12:09:10 robbat2|na	i'm here
Sep 13 12:09:24 robbat2|na	aye from me too
Sep 13 12:09:41 dabbott	quantumsummers is the Vice Chairman
Sep 13 12:09:57 quantumsummers	I have just a couple of things w.r.t. an agenda: 
Sep 13 12:09:57 quantumsummers	1) Welcome dabbott to the board
Sep 13 12:09:57 quantumsummers	2) Gentoo 10 release date & party
Sep 13 12:10:18 *	quantumsummers claps for dabbott, welcome :)
Sep 13 12:10:24 *	robbat2|na joins
Sep 13 12:10:32 quantumsummers	huzzah
Sep 13 12:10:51 quantumsummers	anything you would like to say dabbott?
Sep 13 12:11:10 dabbott	Ask not what your distro can do for you; ask what you can do for your distro.
Sep 13 12:11:26 quantumsummers	well put.
Sep 13 12:11:36 dabbott	thank you everyone
Sep 13 12:11:37 tsunam	lol
Sep 13 12:12:11 quantumsummers	the date of 2009 10 04 has been proposed as the release date for g10 livedvd. It appears to be on track.
Sep 13 12:12:32 quantumsummers	there was some interest in pressing media for distribution
Sep 13 12:13:05 quantumsummers	I was able to find prices on said media ranging from 400-600 USD
Sep 13 12:13:16 quantumsummers	for 1000 disks
Sep 13 12:13:23 quantumsummers	seems a tad pricey
Sep 13 12:13:41 quantumsummers	I am curious if anyone has experience with this sort of thing
Sep 13 12:13:50 tsunam	I would be against pressing media. It's been proven from the store in previous years its not a primary thing people are interested in
Sep 13 12:14:05 quantumsummers	fair enough
Sep 13 12:14:06 robbat2|na	quantumsummers, as pressed media prices go, at that quantity, it's a good price
Sep 13 12:14:11 robbat2|na	but i concur with tsunam
Sep 13 12:14:27 dabbott	I agree with tsunam 
Sep 13 12:14:28 robbat2|na	unless we're going to use it to hand out at cons etc
Sep 13 12:14:30 quantumsummers	robbat2|na: thanks. good to know it wasn't orbbery
Sep 13 12:14:42 robbat2|na	selling them hasn't worked out well in the past
Sep 13 12:15:33 dabbott	yes it would be nice to provide them to dev's that go to conferences and such
Sep 13 12:16:12 quantumsummers	we could just provide  empty disks & an official label
Sep 13 12:16:29 quantumsummers	to some devs ahead of the conf for self burning perhaps
Sep 13 12:16:36 robbat2|na	pre-printed CD-Rs?
Sep 13 12:16:42 robbat2|na	& DVD-Rs
Sep 13 12:16:45 *	tove (n=tove@smtp.gentoo.org) has joined #gentoo-trustees
Sep 13 12:16:45 *	ChanServ gives voice to tove
Sep 13 12:17:18 quantumsummers	could be, I think the sticker labels would be cheap to have printed & we could send blank dvds
Sep 13 12:17:34 quantumsummers	no idea if that would work at all in practice
Sep 13 12:17:40 quantumsummers	could be a pain
Sep 13 12:18:01 robbat2|na	nicely done sticker labels could work out, cheaper shipping by weight than the media
Sep 13 12:18:17 quantumsummers	yes
Sep 13 12:18:20 robbat2|na	but disk weight issues if the label is off-centre
Sep 13 12:18:47 quantumsummers	yes, almost need the little application device to have good results
Sep 13 12:19:12 quantumsummers	what about lightscripe, the media is a tad $$$ iirc
Sep 13 12:19:23 tsunam	and takes a while
Sep 13 12:19:58 robbat2|na	and drives aren't that common
Sep 13 12:20:45 tsunam	anyways a bit off topic from the meeting no?
Sep 13 12:20:52 robbat2|na	hmm, pre-printed media is nearly the same price as print+press
Sep 13 12:21:07 robbat2|na	yeah, the question for the meeting remains, is there sufficent demand that they'll be used up
Sep 13 12:21:12 robbat2|na	before the next actual release
Sep 13 12:21:20 robbat2|na	esp with the functional weeklys
Sep 13 12:21:47 quantumsummers	if we could get a smaller number at a reasonable price we could avoid carrying the inventory
Sep 13 12:22:08 robbat2|na	the cost goes way up
Sep 13 12:22:10 robbat2|na	per unit
Sep 13 12:22:44 quantumsummers	hmm, this may warrant some further discussion
Sep 13 12:23:23 dabbott	see how much demand there really is
Sep 13 12:23:36 tsunam	i would suspect minimal to be honest
Sep 13 12:24:12 quantumsummers	I move that we table this discussion until we have a better idea about by when & how many are needed. We can manage via email.
Sep 13 12:24:21 robbat2|na	seconded
Sep 13 12:24:46 quantumsummers	tsunam, dabbott: you ok with the above?
Sep 13 12:24:50 tsunam	yep
Sep 13 12:24:54 dabbott	yes
Sep 13 12:25:00 quantumsummers	kk. thanks
Sep 13 12:25:53 quantumsummers	so there is the date of the birthday, oct 4. We should have some PR stuff go out, and I believe that the linux-mag article will be publishable around then
Sep 13 12:26:33 quantumsummers	any ideas about what, if anything, the foundation should do to celebrate?
Sep 13 12:27:03 quantumsummers	we have the screenshot contest coming out around then.
Sep 13 12:27:14 dabbott	yep
Sep 13 12:28:26 robbat2|na	unofficial release parties?
Sep 13 12:28:52 quantumsummers	robbat2|na: sounds good. how to advertise?
Sep 13 12:29:19 quantumsummers	someone should get a cake made ;)
