**** BEGIN LOGGING AT Sun Oct 11 12:00:02 2009

Oct 11 12:00:02 NeddySeagoon	hi quantumsummers dabbott robbat2|na 
Oct 11 12:00:06 *	quantumsummers calls the meeting to order
Oct 11 12:00:13 quantumsummers	roll call, please
Oct 11 12:00:17 robbat2|na	here
Oct 11 12:00:22 *	robbat2|na sets mode -e robbat2|na
Oct 11 12:00:22 *	You are now known as robbat2
Oct 11 12:00:23 *	services. sets mode +e robbat2
Oct 11 12:00:28 *	NeddySeagoon is here
Oct 11 12:00:32 dabbott	present
Oct 11 12:00:50 quantumsummers	we have quorum, very good.
Oct 11 12:01:00 quantumsummers	tsunam_ sends his regrets
Oct 11 12:01:09 NeddySeagoon	tsunam_, sent his apologies
Oct 11 12:01:23 quantumsummers	NeddySeagoon: would you like to chair this meeting?
Oct 11 12:01:44 NeddySeagoon	quantumsummers, no thanks - I have a lot of catching up to do
Oct 11 12:02:01 quantumsummers	NeddySeagoon: very well. :)
Oct 11 12:02:41 quantumsummers	well gentoo has had a ton of cool things happen since our last meeting, so congrats & thanks to everyone who participated.
Oct 11 12:02:51 robbat2	i can run it quickly if there's no other takers
Oct 11 12:03:13 quantumsummers	robbat2: if you wish, sir.
Oct 11 12:03:28 robbat2	just in a noisy house atm as there is a film crew in my kitchen+diningroom
Oct 11 12:03:41 quantumsummers	what the? film crew?!?
Oct 11 12:03:41 robbat2	(long story)
Oct 11 12:03:46 quantumsummers	heheh
Oct 11 12:04:01 dabbott	househusbands
Oct 11 12:04:02 quantumsummers	lets get this show on the road, shall we?
Oct 11 12:04:10 robbat2	yup
Oct 11 12:04:12 NeddySeagoon	robbat2, you got cheap accomodation on a film set ?
Oct 11 12:04:18 quantumsummers	lol
Oct 11 12:04:29 robbat2	nah, a friend asked a favor at short notice
Oct 11 12:04:37 quantumsummers	nice to see everyone in a good modd today :)
Oct 11 12:04:37 robbat2	and I owed him 
Oct 11 12:04:43 quantumsummers	*mood
Oct 11 12:04:46 NeddySeagoon	anyways - to the meeting
Oct 11 12:04:47 robbat2	anyway, so logging first of all
Oct 11 12:04:52 robbat2	who's going to post it?
Oct 11 12:05:07 *	quantumsummers has been slacking on that. I do have all the logs up to now
Oct 11 12:05:17 NeddySeagoon	my logger is here
Oct 11 12:05:26 quantumsummers	I do have a few questions, however.
Oct 11 12:05:34 robbat2	we've got lots of copies of the logs, and not enough time to post them
Oct 11 12:05:43 quantumsummers	are we planning on moving to a yearly dir for the logs?
Oct 11 12:05:43 robbat2	maybe delay those questions to the minutes action item?
Oct 11 12:05:51 quantumsummers	fine by me
Oct 11 12:05:55 robbat2	since I had questions there too
Oct 11 12:06:03 quantumsummers	ok, thats good
Oct 11 12:06:33 robbat2	quantumsummers is logging for now, backups with NeddySeagoon's bot, Willikins, robbat2
Oct 11 12:06:46 quantumsummers	robbat2: you bot is logging now?
Oct 11 12:06:50 quantumsummers	*your
Oct 11 12:06:51 robbat2	he always did
Oct 11 12:07:02 robbat2	just nobody asked for them
Oct 11 12:07:09 quantumsummers	ah, very nice. Is there anyway we could automate publishing?
Oct 11 12:07:28 robbat2	i'd rather not put keys on the box with the bot
Oct 11 12:07:35 quantumsummers	ah, ok.
Oct 11 12:07:36 robbat2	but maybe, LATER in the meeting
Oct 11 12:07:40 quantumsummers	kk
Oct 11 12:07:45 robbat2	======
Oct 11 12:07:48 robbat2	OLD business
Oct 11 12:07:54 robbat2	======
Oct 11 12:08:07 robbat2	- Treasurers Report
Oct 11 12:08:10 robbat2	- Banking
Oct 11 12:08:13 robbat2	tsunam isn't here
Oct 11 12:08:25 robbat2	does anybody else have items to be logged for those?
