Dec 13 14:23:20 <quantumsummers>	1. Roll Call
Dec 13 14:23:24 <robbat2|na>	here
Dec 13 14:23:33 <dabbott>	here
Dec 13 14:23:44 <quantumsummers>	2. Meeting Logging - robbat2|na
Dec 13 14:23:50 <robbat2|na>	it's logging as usual
Dec 13 14:23:58 <quantumsummers>	good
Dec 13 14:24:06 <quantumsummers>	3. OB
Dec 13 14:24:22 <quantumsummers>	I can report on some of htis
Dec 13 14:24:47 <quantumsummers>	Main thing is NM registration is done
Dec 13 14:24:49 <quantumsummers>	http://www.nmprc.state.nm.us/cgi-bin/prcdtl.cgi?2463313+GENTOO+FOUNDATION+INC//
Dec 13 14:24:58 <quantumsummers>	Good Standing:   In GOOD STANDING through 11/15/2010
Dec 13 14:25:07 <dabbott>	nice :)
Dec 13 14:25:31 <robbat2|na>	PRINCIPAL ADDRESS (Outside New Mexico)
Dec 13 14:25:31 <robbat2|na>	MANASSA PARK VIRGINIA 
Dec 13 14:25:37 <robbat2|na>	so not done :-9
Dec 13 14:26:11 <quantumsummers>	ah geez
Dec 13 14:26:14 <robbat2|na>	also, david and myself aren't on there
Dec 13 14:26:38 <quantumsummers>	I wonder if the form was submitted correctly or what
Dec 13 14:26:45 <quantumsummers>	could be clerical error
Dec 13 14:27:07 <quantumsummers>	regardless, perhaps we should file a bug to keep this in our minds until its fixed
Dec 13 14:27:18 <robbat2|na>	one sec, i'll file
Dec 13 14:27:27 <quantumsummers>	as it needs to be corrected, certainly
Dec 13 14:30:02 <robbat2|na>	bug 296766 done
Dec 13 14:30:06 <Willikins>	robbat2|na: https://bugs.gentoo.org/296766 "Corrections to corporation filing needed as of 2009/12/13"; Gentoo Foundation, Proposals; NEW; robbat2@g.o:trustees@g.o
Dec 13 14:30:13 <quantumsummers>	thanks
Dec 13 14:30:15 <quantumsummers>	this reminds me, I have been looking into remote mail management & digitization services. This might be really helpful for us.
Dec 13 14:30:50 <quantumsummers>	basically, a service that scans the mail (-junk) & emails it along
Dec 13 14:32:36 <quantumsummers>	Also, it appears that the foundation finances are in good shape. FY 2010 Q1
Dec 13 14:32:48 <quantumsummers>	http://www.gentoo.org/foundation/en/finances/2010q1.xml
Dec 13 14:33:45 <quantumsummers>	Beyond that, I have no more info regarding tsunam's portion
Dec 13 14:33:59 <quantumsummers>	To continue,
Dec 13 14:34:48 <antarus|wtf>	are the expenditures enumerated anywhere?
Dec 13 14:35:25 <quantumsummers>	antarus|wtf: at present, I do not think so.
Dec 13 14:35:44 *	NeddySeagoon shows up ... and apologies for his late arrival
Dec 13 14:36:10 *	quantumsummers welcomes NeddySeagoon :)
Dec 13 14:36:54 <quantumsummers>	 Regarding SFLC: work is progressing, and we will soon need to complete a general budget estimate, as well as the Foundation board member bio statements
Dec 13 14:37:27 <NeddySeagoon>	whats in the bio statements ?
Dec 13 14:37:53 <quantumsummers>	NeddySeagoon: It is much like we have on file for you already.
Dec 13 14:38:00 <NeddySeagoon>	ok
Dec 13 14:38:14 <quantumsummers>	We will need them for myself, dabbott, robbat2|na, and tsunam
Dec 13 14:38:28 <quantumsummers>	just a short paragraph is fine
Dec 13 14:38:48 <quantumsummers>	for the budget, robbat2|na can you provide an estimate on infra?
Dec 13 14:39:17 <robbat2|na>	we previously approved $2k iirc as the default amount
Dec 13 14:39:37 <quantumsummers>	**note: this is not a set-in-stone budget, it can reflect current expenditures as well as grow estimates
Dec 13 14:39:54 <quantumsummers>	robbat2|na: yes, so that is a good place to start
Dec 13 14:40:21 <quantumsummers>	we should also look at what we would like to do & create budget items for these things ... like embedded, etc, etc
Dec 13 14:41:52 <quantumsummers>	So, other than that, we are using info from the g.o site to construct the narrative for our application.
Dec 13 14:42:39 <robbat2|na>	infra expenditure for last year was sub $300, of which <$100 came from our funds
Dec 13 14:43:22 <NeddySeagoon>	quantumsummers, having not seen this sort of thing before are you able to scan it and circulate it so far ?   I understand its not finished
Dec 13 14:44:52 <quantumsummers>	NeddySeagoon: its basically a fillable pdf file, and accompanying instructions. SFLC is handling the actual form, we need only pass them the info.
Dec 13 14:45:45 <quantumsummers>	I can ask for a copy of what we have, though I am not sure if they have started filling things out
Dec 13 14:45:55 <quantumsummers>	or have just taken notes, etc
Dec 13 14:46:21 <NeddySeagoon>	quantumsummers, a link to the blank form and instructions would be good
Dec 13 14:46:33 <quantumsummers>	http://www.irs.gov/instructions/i1023/index.html
Dec 13 14:46:40 <NeddySeagoon>	thanks
Dec 13 14:46:55 <quantumsummers>	NeddySeagoon: I wrote some things about it here: http://dev.gentoo.org/~quantumsummers/manifesto_2009.html
Dec 13 14:47:00 <quantumsummers>	Goal 1
Dec 13 14:47:41 <NeddySeagoon>	quantumsummers, thanks - I read it later.  I think we may be straying from the agenda
Dec 13 14:47:42 <quantumsummers>	ok. so I will move on to CPA if everyone is ready.
Dec 13 14:48:32 <quantumsummers>	I have contacted & requested an estimate from the CPA used by the SFLC, whom they recommended. Also I have requested same from the CPA local to me.
Dec 13 14:49:01 <NeddySeagoon>	sounds good
Dec 13 14:49:11 <quantumsummers>	I believe I will see them before the holiday, & present them to you at that time.
Dec 13 14:49:35 <dabbott>	very well
Dec 13 14:49:48 <quantumsummers>	I had them separate the estimate into two sections
Dec 13 14:49:54 <quantumsummers>	one for tax preparation
Dec 13 14:50:06 <quantumsummers>	and another for book keeping.
Dec 13 14:50:29 <quantumsummers>	the book keeping thing will be nice as things grow, but not completely necessary at this time
Dec 13 14:50:36 <NeddySeagoon>	ok
Dec 13 14:51:08 <quantumsummers>	any questions on CPA?
Dec 13 14:51:16 <NeddySeagoon>	not from me
Dec 13 14:51:24 <dabbott>	none here, you have it covered
Dec 13 14:51:51 <quantumsummers>	next, KM
Dec 13 14:52:06 <robbat2|na>	not a question on CPA, but merely a comment that we not get locked into some software that we can't read the files from
Dec 13 14:52:27 <quantumsummers>	robbat2|na: I agree completely.
Dec 13 14:54:35 <quantumsummers>	KM - I am beating my head against it at the moment.
Dec 13 14:55:30 <quantumsummers>	Membership Applications Status (See 6.)
Dec 13 14:55:49 <quantumsummers>	Looks like we will get to that shortly. 
Dec 13 14:56:25 <quantumsummers>	Donation and Vendor Advertising - robbat2|na
Dec 13 14:57:27 <dabbott>	quantumsummers, refesh the page http://www.gentoo.org/foundation/en/minutes09/2009/200912_trustees_agenda.xml
Dec 13 14:57:34 <tsunam>	morning
Dec 13 14:57:42 <quantumsummers>	howdy tsunam
Dec 13 14:58:01 <tsunam>	apparetly I thought noon...and it started at 11 =/
Dec 13 14:58:07 <tsunam>	my appolgies for being late
Dec 13 14:58:27 <quantumsummers>	no worries tsunam, glad you arrived :)
Dec 13 14:58:35 <antarus|wtf>	it started late anyhow ;)
Dec 13 14:58:38 <quantumsummers>	would you like to take a moment to read up?
Dec 13 14:58:42 <quantumsummers>	tsunam ^
Dec 13 14:59:26 <tsunam>	sure
Dec 13 14:59:46 <quantumsummers>	Before we move on, I was apparently working off an old version of the agenda
Dec 13 15:00:15 <tsunam>	about filings for new mexico
Dec 13 15:00:23 <tsunam>	I only filed the annual required
Dec 13 15:00:33 <tsunam>	I've not submitted a change form yet
Dec 13 15:00:43 <tsunam>	which is why there's been no changes
Dec 13 15:00:49 <tsunam>	the annual is NOT used for changes
Dec 13 15:00:55 <robbat2|na>	sorry, was afk with phone call
Dec 13 15:01:00 <tsunam>	same form..just a different checkbox
Dec 13 15:01:00 <robbat2|na>	ringing off the hook today
Dec 13 15:01:37 <quantumsummers>	tsunam: noted. when do you anticipate sending the change form?
Dec 13 15:02:05 <tsunam>	best would probably be after the new year. I need to see if I need to do the fax thing again where I need another officer's signature for the updates
Dec 13 15:02:08 <tsunam>	its likely
Dec 13 15:02:21 <quantumsummers>	ok. please let me know if I can assist
Dec 13 15:02:24 <tsunam>	k
Dec 13 15:02:38 <tsunam>	any other things I'm involved in that need to be discussed?
Dec 13 15:02:55 <robbat2|na>	tsunam, just a request from antarus for more detail in the expeditures breakdown
Dec 13 15:03:22 <tsunam>	robbat2|na: so more categories when it comes to the annual reports then?
Dec 13 15:03:29 <tsunam>	antarus|wtf: ^^^
Dec 13 15:03:45 <quantumsummers>	tsunam: we need an annual budget estimate for our 1023 application
Dec 13 15:03:50 <tsunam>	k
Dec 13 15:03:57 <tsunam>	quantumsummers: it can be a rough estimate?
Dec 13 15:04:05 <jmbsvicetto>	tsunam: any reason for the quarter income from the store to be 0?
Dec 13 15:04:19 <antarus|wtf>	tsunam: ah, I was not necessarily requesting anything
Dec 13 15:04:19 <tsunam>	jmbsvicetto: I've not worked with christina to have a check sent over
Dec 13 15:04:27 <robbat2|na>	in the quarterly, can we just have line items for each of the expenditures? it shouldn't really be more than 5 items each quarter from what i've seen
Dec 13 15:04:30 <antarus|wtf>	(I know what you spent money on)
Dec 13 15:04:50 <antarus|wtf>	just that others might wonder
Dec 13 15:04:58 <jmbsvicetto>	tsunam: so the income isn't 0, you're just missing the value?
Dec 13 15:04:58 <tsunam>	robbat2|na: that would be possible, basically itemize our expenditures
Dec 13 15:05:06 <tsunam>	jmbsvicetto: income is minimal
Dec 13 15:05:28 <tsunam>	but yes need to get it sent over
Dec 13 15:05:34 <quantumsummers>	I will also be using your quarterly statements on the app.
Dec 13 15:05:40 <tsunam>	quantumsummers: *nods*
Dec 13 15:06:23 <tsunam>	I will make a note to itemize 2nd quarter 2010's quarterly report
Dec 13 15:06:52 <quantumsummers>	very good
Dec 13 15:07:54 <quantumsummers>	hmm, I missed something in KM - Email Record Keeping
Dec 13 15:08:01 <dabbott>	Like a ticket system, a form to keep track of Trustee emails received and the progress
Dec 13 15:08:24 <quantumsummers>	I agree we need something
Dec 13 15:08:49 <NeddySeagoon>	yeah - my filing system is a mess
Dec 13 15:09:20 <quantumsummers>	short answer to the 2nd subpoint is not: without extra effort. I think we can do something really simple here
Dec 13 15:10:42 <dabbott>	quantumsummers, what ever is easiest
Dec 13 15:11:23 <dabbott>	my problem is I get my email from different locations, the Trustee email is increasing
Dec 13 15:11:49 <quantumsummers>	what do you mean by different locations?
Dec 13 15:12:12 <dabbott>	different computers
