Last updated: 2005-06-04
------------------------------------------------------------------------------
Package Name                            ppc                 x86                 
------------------------------------------------------------------------------
app-accessibility/brltty                3.5                 3.6.1               
app-accessibility/dasher                3.2.13              3.2.15              
app-accessibility/gnome-mag             0.11.14             0.12.0              
app-accessibility/gnopernicus           0.9.19              0.10.7              
app-accessibility/gok                   0.11.17             1.0.3               
app-admin/chrootuid                     N/A                 1.3                 
app-admin/lcap                          N/A                 0.0.6-r1            
app-admin/sus                           N/A                 2.0.6               
app-admin/ulog-acctd                    N/A                 0.4.2               
app-admin/watchfolder                   N/A                 0.3.1.1             
app-antivirus/clamav                    0.83                0.85.1              
app-arch/flexbackup                     N/A                 1.2.1               
app-arch/karchiver                      3.0.8               3.1.1-r1            
app-arch/pdv                            N/A                 1.5.1               
app-arch/pure-sfv                       N/A                 0.3                 
app-arch/unp                            N/A                 1.0.8               
app-arch/unshield                       N/A                 0.2                 
app-cdr/xdvdfs-tools                    N/A                 2.1-r1              
app-crypt/bcwipe                        N/A                 1.3_p1              
app-crypt/ccrypt                        N/A                 1.7                 
app-crypt/pam_ssh                       N/A                 1.9                 
app-dicts/freedict-eng-fra              N/A                 1.0                 
app-dicts/freedict-eng-ita              N/A                 1.0                 
app-dicts/freedict-eng-swe              N/A                 1.0                 
app-dicts/freedict-fra-eng              N/A                 1.0                 
app-dicts/freedict-ita-eng              N/A                 1.0                 
app-dicts/stardict-langdao-zh-en-gb     N/A                 2.4.2               
app-doc/vilearn                         N/A                 1.0                 
app-editors/cooledit                    N/A                 3.17.7              
app-editors/jove                        N/A                 4.16.0.56.1         
app-editors/le                          N/A                 1.9.2               
app-editors/leo                         N/A                 4.2                 
app-editors/shed                        N/A                 1.11                
app-emacs/auctex                        11.54               11.55               
app-emacs/ecb                           N/A                 2.24                
app-emacs/eieio                         N/A                 0.17                
app-emacs/emacs-w3m                     1.4.3               1.4.4               
app-emacs/ess                           N/A                 5.2.2-r1            
app-emacs/gnus                          N/A                 5.10.6              
app-emacs/haskell-mode                  N/A                 1.44-r1             
app-emacs/highline                      N/A                 4.2                 
app-emacs/jde                           N/A                 2.3.3-r1            
app-emacs/prime-el                      1.5.0.1             1.5.1.3             
app-emacs/semantic                      N/A                 1.4.4-r1            
app-emacs/slime                         N/A                 1.2.1-r1            
app-emacs/vhdl-mode                     N/A                 3.33.2              
app-emulation/fuse                      N/A                 0.6.2.1             
app-emulation/uade                      N/A                 1.01                
app-emulation/xtrs                      N/A                 4.9                 
app-forensics/mac-robber                N/A                 1.00                
app-forensics/magicrescue               N/A                 1.1.4               
app-i18n/enca                           N/A                 1.0                 
app-i18n/fcitx                          N/A                 2.0.1               
app-i18n/im-ja                          1.3-r1              1.4                 
app-i18n/jfbterm                        0.4.7               0.4.7-r1            
app-i18n/nabi                           0.13                0.14                
app-i18n/rskkserv                       N/A                 2.95.3              
app-i18n/scim                           1.2.1               1.2.2               
app-i18n/scim-qtimm                     0.8.5-r1            0.8.9               
app-i18n/skk-jisyo-cdb                  200410              200504              
app-i18n/skk-jisyo-extra                200501              200504              
app-i18n/uim                            0.4.5.1             0.4.6-r2            
app-misc/abook                          0.5.2-r1            0.5.3               
app-misc/bfr                            N/A                 1.5                 
app-misc/ccal                           N/A                 0.6                 
app-misc/cdargs                         N/A                 1.31                
app-misc/cmatrix                        N/A                 1.2a                
app-misc/cw                             N/A                 1.0.10              
app-misc/gramps                         N/A                 1.0.10              
app-misc/ithought                       N/A                 0.0.5-r1            
app-misc/jail                           N/A                 1.9-r1              
app-misc/jot                            N/A                 9.0                 
app-misc/leave                          N/A                 20041016            
app-misc/mmv                            N/A                 1.01b               
app-misc/mtail                          N/A                 1.1.1-r1            
app-misc/note                           N/A                 1.2.5-r1            
app-misc/nut                            N/A                 10.7                
app-misc/ondir                          N/A                 0.2.2               
app-misc/pax-utils                      0.0.4               0.0.7               
app-misc/pyge                           N/A                 0.6.1.2             
app-misc/rlwrap                         N/A                 0.21                
app-misc/srm                            N/A                 1.2.7               
app-misc/tkpasman                       N/A                 2.2a                
app-misc/tomboy                         N/A                 0.2.2-r1            
