Feb 08 12:00:36 kingtaco|work	>>>>> BEGIN LOGGING
Feb 08 12:00:41 kingtaco|work	ok, rollcall
Feb 08 12:00:48 *	kingtaco|work here
Feb 08 12:01:27 *	Flameeyes here (dining)
Feb 08 12:01:36 kloeri	hi all
Feb 08 12:01:39 vapier	poop
Feb 08 12:01:46 kingtaco|work	robbat2|na, ?
Feb 08 12:01:55 kingtaco|work	spb
Feb 08 12:02:04 wolf31o2|mobile	present
Feb 08 12:02:24 kingtaco|work	spb is making food, I guess he'll be here in a minute
Feb 08 12:02:46 kingtaco|work	anyone have items that I didn't just list?
Feb 08 12:02:57 Flameeyes	glep44 status
Feb 08 12:03:02 kingtaco|work	ok
Feb 08 12:03:10 kloeri	genone wanted us to reconfirm glep 23
Feb 08 12:03:16 kingtaco|work	got that on the list
Feb 08 12:03:21 *	amne (n=amne@gentoo/developer/amne) has joined #gentoo-council
Feb 08 12:03:36 kingtaco|work	Flameeyes, you want to start with 44?
Feb 08 12:04:18 spb	back
Feb 08 12:04:47 Flameeyes	kingtaco|work, I'd rather be silent while dining, but if you want to start with 44, fine
Feb 08 12:05:01 kingtaco|work	ok
Feb 08 12:05:11 kingtaco|work	lets start with the council member thing then
Feb 08 12:05:40 kingtaco|work	so, the council glep doesn't say anything about what happens when a dev leaves of his own will
Feb 08 12:06:06 kingtaco|work	I think we should take the next place in the orig election and then have the council confirm it.
Feb 08 12:06:07 Flameeyes	nor if it gets removed by devrel
Feb 08 12:06:17 vapier	s/of his own will/
Feb 08 12:06:20 kingtaco|work	what I'm not sure of is if majority vote or unanmous vote
Feb 08 12:06:38 Flameeyes	I would be for unanymous
Feb 08 12:07:22 kingtaco|work	regardless of how we decide to vote, if the vote fails, it'd be a new election for that one member for a reduced term
Feb 08 12:07:26 spb	on the other hand, for consistency it makes sense to do the same thing if a dev leaves that is done when the slacker boot is applied
Feb 08 12:07:58 vapier	http://thread.gmane.org/gmane.linux.gentoo.devel/45517
Feb 08 12:08:23 kloeri	devrel won't retire council members btw unless they're completely inactive (just like other devs) in which case they'd be marked slackers before that happened
Feb 08 12:09:02 kingtaco|work	yeah
Feb 08 12:09:14 Flameeyes	kloeri, what happens in case of complaints?
Feb 08 12:09:18 spb	kloeri: technically it takes three months for a council member to be booted for slacking, where the activity timeout is two months
Feb 08 12:09:29 vapier	from the few responses on -dev (mine included), simply taking the next person "in line" until exhausted seems easiest route to get things up and going again
Feb 08 12:09:29 *	welp (n=welp@gentoo/developer/welp) has joined #gentoo-council
Feb 08 12:09:46 spb	though i suppose it'll take a bit longer to actually retire inactive people
Feb 08 12:09:50 kingtaco|work	as long as it's approved by the remaining members
