Mar 15 13:59:49 Kugelfang	*bling bling bling*
Mar 15 13:59:52 *	wolf31o2|mobile has changed the topic to: Code of Conduct Q&A session at March 14th, 2100UTC ; Voting on CoC @ March 15th, 2100UTC ; http://dev.gentoo.org/~wolf31o2/coc.xml
Mar 15 13:59:54 Kugelfang	meeting time?
Mar 15 14:00:11 wolf31o2|mobile	yup
Mar 15 14:00:17 wolf31o2|mobile	http://dev.gentoo.org/~wolf31o2/coc.xml
Mar 15 14:00:45 wolf31o2|mobile	here's an update to the coc that was written, including some suggestions and clarifications from yesterday
Mar 15 14:01:00 kloeri	just read it 5 seconds ago :)
Mar 15 14:01:35 *	wolf31o2|mobile sets mode +m #gentoo-council
Mar 15 14:01:40 Kugelfang	wolf31o2|mobile: s/Respect someones/Respect someone's/
Mar 15 14:01:51 Kugelfang	wolf31o2|mobile: 3rd paragraph
Mar 15 14:01:57 wolf31o2|mobile	Kugelfang: typographical... doesn't change content... but thanks
Mar 15 14:01:58 Kugelfang	wolf31o2|mobile: first bulletpoint
Mar 15 14:02:06 Kugelfang	nod... i'm a nitpicker ;-)
Mar 15 14:02:08 wolf31o2|mobile	dont' address me
Mar 15 14:02:13 wolf31o2|mobile	I didn't write/edit it
Mar 15 14:02:17 wolf31o2|mobile	I just uploaded it
Mar 15 14:02:18 wolf31o2|mobile	:P
Mar 15 14:03:01 robbat2	hi
Mar 15 14:03:21 robbat2	kingtaco|work, get in here
Mar 15 14:03:22 *	expose has quit (Nick collision from services.)
Mar 15 14:03:26 kingtaco|work	I am
Mar 15 14:03:40 kingtaco|work	jeez, can't a guy have a smoke or 20 ?
Mar 15 14:03:45 wolf31o2|mobile	heh
Mar 15 14:03:48 *	expose_ (n=nobody@82.139.196.236) has left #gentoo-council
Mar 15 14:03:58 *	expose (n=nobody@82.139.196.236) has joined #gentoo-council
Mar 15 14:04:35 kloeri	who's missing? vapier and uber?
Mar 15 14:05:05 kingtaco|work	should probably link robbat2's stuff as well
Mar 15 14:05:10 kingtaco|work	robbat2, ?
Mar 15 14:06:10 robbat2	one sec
Mar 15 14:06:13 vapier	?
Mar 15 14:06:34 vapier	http://rafb.net/p/qrNRyr49.html
Mar 15 14:06:42 *	nightmorph (n=nightmor@gentoo/developer/nightmorph) has joined #gentoo-council
Mar 15 14:07:10 *	Chainsaw (n=chainsaw@gentoo/developer/Chainsaw) has joined #gentoo-council
Mar 15 14:07:12 robbat2	http://dev.gentoo.org/~robbat2/coc-conditions.txt
Mar 15 14:08:03 *	phreak`` (n=phreak``@gentoo/developer/phreak) has joined #gentoo-council
Mar 15 14:08:06 robbat2	ok, so we've all gone off and done this seperately it seems :-(
Mar 15 14:08:24 kloeri	I haven't :)
Mar 15 14:08:53 *	hoffie (n=hoffie@e.rootservers.org) has joined #gentoo-council
Mar 15 14:09:15 wolf31o2|mobile	vapier: look at the updated version in my dev space, pelase
Mar 15 14:09:37 vapier	too many
Mar 15 14:09:47 robbat2	there's only 3 things in vapier's that aren't addressed in your update
Mar 15 14:09:50 vapier	someone start combining them
Mar 15 14:09:59 robbat2	i'll point them out quickly
Mar 15 14:10:00 Kugelfang	i love the name "proctors"
Mar 15 14:10:05 *	windzor (n=windzor@82.143.229.82) has joined #gentoo-council
Mar 15 14:10:12 robbat2	diffences between vapier/wolf31o2 versions:
Mar 15 14:10:14 robbat2	1. drop caps
Mar 15 14:10:30 robbat2	2. "If you screw up, apologize sincerely" vapier calls it lame
Mar 15 14:10:54 robbat2	3. "ombudsman should probably be more involved" in consequences
Mar 15 14:11:24 robbat2	vapier: read my conditions link, as those are seperate to wolf31's changes
Mar 15 14:11:44 *	dev-zero (n=TizianoM@gentoo/developer/dev-zero) has joined #gentoo-council
Mar 15 14:13:09 wolf31o2|mobile	give me like 5 and I'll update
Mar 15 14:13:16 wolf31o2|mobile	(and they weren't my changes, dammit)
Mar 15 14:15:03 *	blackace (n=blackace@gentoo/developer/blackace) has joined #gentoo-council
Mar 15 14:17:18 wolf31o2|mobile	bleh... this is fun
Mar 15 14:17:51 Kugelfang	what happened?
Mar 15 14:18:08 wolf31o2|mobile	how about s/apologize sincerely/take responsibility for your actions/ ?
Mar 15 14:18:16 wolf31o2|mobile	Kugelfang: sorry... I'm editing
Mar 15 14:18:26 Kugelfang	:-)
Mar 15 14:18:36 kloeri	wolf31o2|mobile: I like that
Mar 15 14:18:45 robbat2	+1 here for now
Mar 15 14:18:48 wolf31o2|mobile	vapier: can you look at it (updated it) and see if you have anything else to add that isnt' in robin's comments ?
Mar 15 14:18:56 kingtaco|work	wfm
Mar 15 14:19:35 Kugelfang	wolf31o2|mobile: someone's ;-)
Mar 15 14:19:36 robbat2	wolf31o2|mobile, err, did you miss vapier's ombusdman bit?
Mar 15 14:19:45 robbat2	ombudsman
Mar 15 14:19:51 Kugelfang	wolf31o2|mobile: and there is still one capital "RESPECTFULLY"
Mar 15 14:19:58 Kugelfang	wolf31o2|mobile: in the 3 paragraph
Mar 15 14:20:08 Kugelfang	+rd
Mar 15 14:20:26 wolf31o2|mobile	somebody write something for it
Mar 15 14:20:34 wolf31o2|mobile	don't leave it all to me
Mar 15 14:20:34 wolf31o2|mobile	heh
Mar 15 14:20:47 robbat2	one sec then
Mar 15 14:20:52 Kugelfang	i don't think the ombudsman is involved there
Mar 15 14:21:00 robbat2	"appeals should be addressed to the ombudsman and the Gentoo Council via email at council@gentoo.org"
Mar 15 14:21:04 Kugelfang	the ombudsman is for dev<->dev problems
Mar 15 14:21:14 Kugelfang	this is about communication problems
Mar 15 14:22:21 robbat2	hmm, point there
Mar 15 14:22:36 wolf31o2|mobile	ok... updated
Mar 15 14:23:35 wolf31o2|mobile	if anyone has anything, let me know... but this should be good enough to cover us until the next meeting... also, you'll notice that nowhere does it define what proctors can/can't be (other than council members) meaning that for the interim, I think that forums mods and #gentoo ops could be considered fillign that capacity, so long as there's a few others to do oversight for the next meeting
Mar 15 14:24:01 *	pusling (i=pusling@195.215.29.124) has left #gentoo-council
Mar 15 14:24:09 Kugelfang	i want grant in there, too
Mar 15 14:24:14 Kugelfang	if he volunteers
Mar 15 14:24:20 wolf31o2|mobile	that's fine
Mar 15 14:24:21 Kugelfang	g2boojum: ping?
Mar 15 14:24:33 kloeri	I'm fine with that
Mar 15 14:24:47 robbat2	points 2,3,4 from mine are still valid, but apply directly to the document rather than being changes that need to be in it
Mar 15 14:24:55 kingtaco|work	yeah
Mar 15 14:25:03 robbat2	in specific, and for the log of this meeting:
Mar 15 14:25:10 kingtaco|work	are we selecting the first round of people?
Mar 15 14:25:13 robbat2	2. people need to work together and bring us a revised CoC
Mar 15 14:25:16 kingtaco|work	I'd rather that
Mar 15 14:25:29 robbat2	3. people need to find another name than proctors
Mar 15 14:25:37 wolf31o2|mobile	kingtaco|work: in addition to the forums/#gentoo guys, you mean?
Mar 15 14:25:40 g2boojum	Kugelfang: I'm not really around until next week.  (I also haven't read back, so I've no idea what I'm being pinged about just yet.)
Mar 15 14:25:56 robbat2	4. council should reguarlly review actions taken by proctors
Mar 15 14:26:18 Kugelfang	g2boojum: i want you to be part of the proctors group if you afree
Mar 15 14:26:20 Kugelfang	agree
Mar 15 14:26:26 kingtaco|work	wolf31o2|mobile, I think we should include some of those people because they have experence, but not necessarly all of them
Mar 15 14:26:36 wolf31o2|mobile	I definitely agree with 2 and 4... I think 3 is kinda one of those things where nothing will ever fit, so what't the point in changing the title, as it gains us nothing anyway
Mar 15 14:26:39 kingtaco|work	Kugelfang, no fair, I wanted him first
Mar 15 14:26:48 Kugelfang	kingtaco|work: hah... never!
Mar 15 14:26:49 kingtaco|work	NASA love triangle!
Mar 15 14:27:02 wolf31o2|mobile	kingtaco|work: for the permanent list, sure... but for the interim (as in, until next council meeting when we can get everything hashed out ahead of time)
Mar 15 14:27:57 kingtaco|work	wolf31o2|mobile, lemme rephrase, the forums and #gentoo people have done a good job at this in their places, but I don't feel comfortable with solely them doing the other mediums
Mar 15 14:28:12 kingtaco|work	so I'd like a couple more people
Mar 15 14:28:21 kingtaco|work	seemant, g2boojum in particular
Mar 15 14:28:39 g2boojum	Kugelfang: Okay.  If I end up too busy, I'll let the council know.  I'm rarely likely to be good at "rapid response" right now, though.
Mar 15 14:28:47 wolf31o2|mobile	kingtaco|work: definitely... I thought I'd made that clear... sorry... and I agree that we should have a better list for the next meeting, including people from both groups
Mar 15 14:29:09 Kugelfang	g2boojum: noted
Mar 15 14:29:11 kingtaco|work	aight
Mar 15 14:29:22 *	rullzer has quit (Client Quit)
Mar 15 14:29:24 robbat2	did Uber show up yet?
Mar 15 14:29:30 Kugelfang	nope
Mar 15 14:30:05 *	wolf31o2|mobile pokes Uber a couple more times for effect
Mar 15 14:32:06 Uber	sorry, here
Mar 15 14:32:10 Kugelfang	ahh
Mar 15 14:32:14 Kugelfang	so we can vote now?
Mar 15 14:32:28 kingtaco|work	let's be clear on what version we're voting on
Mar 15 14:32:31 kingtaco|work	wolfs ?
Mar 15 14:32:33 Kugelfang	wolf's
Mar 15 14:32:37 kingtaco|work	anything added to that
Mar 15 14:32:44 kingtaco|work	like stuff from robbat2 ?
Mar 15 14:32:55 Kugelfang	see above^^^
Mar 15 14:33:39 kingtaco|work	Kugelfang, not to be pedantic, but I'd rather just list everything we're voting on all at once
Mar 15 14:33:51 wolf31o2|mobile	well, I say this... we vote on the version on my dev space right now, with the addition that we *will* revisit this document at the next regular council meeting, will have a list of suggested proctors (and have gotten their approval), and will review the proctors actions each council meeting
Mar 15 14:33:56 wolf31o2|mobile	^^^^
Mar 15 14:33:57 wolf31o2|mobile	there
Mar 15 14:34:04 wolf31o2|mobile	so, vote ?
Mar 15 14:34:22 Kugelfang	yes please
Mar 15 14:34:30 *	kingtaco|work yes
Mar 15 14:34:31 wolf31o2|mobile	ok...
Mar 15 14:34:32 robbat2	yes
Mar 15 14:34:32 wolf31o2|mobile	yes
Mar 15 14:34:33 kloeri	yes
Mar 15 14:34:41 *	windzor has quit (Client Quit)
Mar 15 14:34:48 Uber	yes
Mar 15 14:34:58 kingtaco|work	Kugelfang, your vote was yes or "yes, let's vote"
Mar 15 14:34:59 *	Uber has just read it and it looks good
Mar 15 14:35:08 Kugelfang	yes
