21:00:33 <ulm>	somebody logging?
21:00:46 <leio>	I am as usual
21:00:51 <solar>	I'm not logging
21:00:51 <leio>	committing after meeting
21:00:57 <solar>	thanks leio
21:01:04 *	dertobi123 yawns
21:01:13 <Calchan>	hi guys, I just want to warn you that I'm feeling terrible today health wise
21:01:33 <Calchan>	and I haven't slept in 30 hours so if I stop responding you'll know I'm sleeping
21:01:33 <solar>	don't cough on us then. But noted you are here.
21:01:50 <Calchan>	solar, it's not that, don't worry
21:01:57 <ulm>	Betelgeuse?
21:02:00 <Betelgeuse>	ulm: yes
21:02:13 <ulm>	ok, everyone is there
21:02:13 <scarabeus>	so everyone here we can say :]
21:02:28 <solar>	ok. well that means Calchan probably wont chair today due to his health problems.
21:02:38 <solar>	ulm: would you be willing to chair this meeting?
21:02:49 <Calchan>	solar, good point, thanks
21:03:04 <ulm>	solar: can do, unless someone else wants to
21:03:37 <solar>	any objections? if not lets get started please
21:04:09 <ulm>	ok, I'll take the chair then
21:04:17 <ulm>	we're at 1.4 already :)
21:04:35 <ulm>	any remarks on the agenda?
21:04:47 <Calchan>	no
21:04:53 <Betelgeuse>	no
21:05:03 <scarabeus>	nope
21:05:44 <ulm>	none it seems
21:05:54 <ulm>	so 2. Follow-ups from previous meeting
21:06:21 <Calchan>	do I start?
21:06:25 <ulm>	Calchan: you want to say something about GLEP 39?
21:06:32 <ulm>	yes
21:06:52 <Calchan>	I have posted the discussion topics as planned in order to gether inpu tfrom the community
21:07:09 <Calchan>	I forgot one and maybe more will come
21:07:52 <Calchan>	the target is to have everything dpone before the nominations for next term
21:08:16 <Calchan>	I will work backward from there to make a planning
21:08:39 <ulm>	ok
21:08:44 <Calchan>	I'm a bit disappointed by the small number of reactions so far but not surprised
21:09:14 <Calchan>	any comments from you guys about what has been done so far?
21:09:14 <ulm>	so not much to discuss until we have more responses on the ML
21:09:18 <Betelgeuse>	Calchan: easier to push for your own ideas :)
21:09:18 <scarabeus>	maybe we really could inspire ourselves by debian approach, how was suggested there
21:09:28 <scarabeus>	:]
21:09:30 <scarabeus>	or that
21:09:35 <solar>	I've not had a chance to read that yet.
21:09:52 <Calchan>	scarabeus, good point, I didn't have the strength to answer that comment but yes
21:10:04 <leio>	I'll need to work through it later this week or so too, been busy with GSoC with the time I have
21:10:12 <scarabeus>	well their document is well written and easy to understand
21:10:15 <Calchan>	just add any idea even from debian to the thread
21:10:16 <scarabeus>	so we can at least base off it
21:10:22 <dertobi123>	same as solar for me ...
21:10:22 <Calchan>	the point of this is to brainstorm
21:11:04 <Calchan>	that's ok, it's a long term effort anyway
21:11:23 <scarabeus>	we should just make sure to cook it before next elections :]
21:11:33 <Calchan>	ulm, I'm done if there are no more questions
21:11:40 <Calchan>	scarabeus, I'll make sure of that
21:11:51 <antarus>	can you link to the thread somewhere (summary or agenda?)
21:12:23 <Calchan>	antarus, http://archives.gentoo.org/gentoo-project/msg_642482b9a9bc12e7d87fde8e6878f13c.xml
21:12:34 <Calchan>	and all the depending threads
21:12:36 <ulm>	antarus: no open floor yet ;)
21:13:12 <ulm>	any other comments on this topic?
21:13:16 -->	reavertm (~quassel@gentoo/developer/reavertm) has joined #gentoo-council
21:13:36 <solar>	other then just to say thanks to Calchan for following up.
21:13:49 <ulm>	next is "policy for changes in metadata.xml"
21:13:52 -->	darkside_ (~darkside@gentoo/developer/darkside) has joined #gentoo-council
21:13:56 <ulm>	scarabeus?
21:14:13 <scarabeus>	ok, i sent fancy mail to the wrong lists as Denis properly pointed out
21:14:24 <scarabeus>	but the reaction was slightly more than zero
21:14:25 <Calchan>	scarabeus, sorry I was a bit harsh that day
21:14:34 <ulm>	scarabeus: where did you send it?
21:14:40 <scarabeus>	core and council
21:14:43 <scarabeus>	i should've use dev
21:14:59 <Calchan>	scarabeus, I think it should have been appraoched differently, we can discuss that after the meeting if you want
21:15:49 <ulm>	scarabeus: can you summarise the replies, or post a pointer to them?
21:16:20 <ulm>	or should we reiterate and postpone to next meeting?
21:16:33 <scarabeus>	my mail addressed 2 points
21:16:33 <scarabeus>	devrel is not reacting on qa reported issues -> that one we can say is solved
21:16:33 <scarabeus>	users are touching ebuild they dont maintain -> here i want to say something :]
21:16:33 <Calchan>	ulm, I'd say postpone, let's reboot that
21:16:58 <scarabeus>	or we can postprone it, and we can discuss the policy with rest qa guys, and Calchan or any other of you guys can chip in
21:17:09 <scarabeus>	actualy i think the policy text i wrote is quite nice
21:17:09 <scarabeus>	http://dpaste.com/185381/
21:17:19 <dertobi123>	do we still have some qa guys around?
21:17:21 <scarabeus>	yet it needs some sane override mechanism, where some poeple dont mind touching
21:17:23 <ulm>	scarabeus: and maybe resend the message to -dev ml
21:17:56 <Calchan>	scarabeus, it looks good to me, but it's only nice if it's what devs want
21:18:23 <scarabeus>	dertobi123: we do qa ;] even tho people mostly see the removals ;D
21:18:32 <Betelgeuse>	scarabeus: a typo in exceptions? ws and breaking installs in same category?
21:18:32 <ulm>	at least it's a good starting point for discussion
21:18:41 <scarabeus>	ok i will sent one more mailie to the -dev
21:18:54 <scarabeus>	and we see what responses we will collect till next meeting then
21:18:55 <Betelgeuse>	ah know I got it
21:20:01 <ulm>	can we move to the next topic?
21:20:10 <dertobi123>	mh yeah
21:20:12 <Calchan>	yes please
21:20:19 <scarabeus>	move move :]
21:20:34 <ulm>	3. "doman -i18n" option
