Gentoo Qt project meeting 2014-03-01
Timestamps are UTC+4

[16:00:40] <Pinkbyte>	!herd qt
[16:00:41] <willikins>	Pinkbyte: (qt) kensington, pesa, pinkbyte, wired, yngwin, zlogene
[16:01:03] <Pinkbyte>	Let's start roll-call. Who's there? :-)
[16:03:44] <Pinkbyte>	guys? :-/
[16:04:44] *	pesa here
[16:06:55] <Pinkbyte>	pesa, it seems that here only two of us. Anyway first long-standing question is up to you, let's start, maybe others will join us later
[16:07:12] <pesa>	hmmm
[16:08:32] <pesa>	well not much to say actually, we (I) missed the "target" of 5.2.x
[16:09:08] <pesa>	5.3 is scheduled for late april IIRC
[16:09:53] <Pinkbyte>	pesa, well it is a bit unfortunate, but that's life. More interesting question(for me) - progress with moving qt4 binaries - cause this will speed up future integration
[16:10:11] <Pinkbyte>	Are you planning to wait for 4.8.6(if it will ever be)?
[16:10:23] <pesa>	that was the idea
[16:10:51] <pesa>	but I'd like to implement it on 4.9999 first and I haven't gotten around to it yet :(
[16:11:43] <Pinkbyte>	That's sad :-(. Moreover it is sad, that i can not help you with this. Qt buildsystem internals really scares me :-(
[16:11:53] <pesa>	there will definitely be a 4.8.6, upstream was talking about a february release but I guess they're late
[16:12:21] <pesa>	yeah it's a bit complex at times
[16:12:33] *	xhochy_ (sid11301@gateway/web/irccloud.com/x-ahgibhynnsnqgyiu) зашел на канал #gentoo-meetings
[16:12:33] <pesa>	and very hard to debug
[16:12:39] <Pinkbyte>	pesa, probably they will brought it with apropriate qt 5 release, but it's just a suggestion - i am not following Qt development so close
[16:16:33] <Pinkbyte>	pesa, ok. Do your job as usual. Next one - base eclass dependency in qt4-r2
[16:16:38] <pesa>	sure
[16:16:46] <Pinkbyte>	That's thing that i can help you with ;-)
[16:16:55] <pesa>	I hope Sonja can help and will join us :)
[16:17:02] <pesa>	*Sanja sorry
[16:17:17] <Pinkbyte>	Sanja? Do we have a recruit? ;-)
[16:17:31] <pesa>	the mail to qt@ a few days ago
[16:17:39] <pesa>	you replied to it :P
[16:18:21] <Pinkbyte>	pesa, ah. Well, we have no answer from him, so i have no false expecations.
[16:18:42] <pesa>	fair enough
[16:19:00] <Pinkbyte>	To be honest, that's not the first time when someone offered help and than - vanishes in the shadows
[16:19:09] <Pinkbyte>	i see that regularly in proxy maintainers :-(
[16:19:36] <pesa>	true
[16:19:40] <Pinkbyte>	Anyway, as QA team member, i have some responsibility for base eclass cleanup and i will be glad to do this, if you do not mind
