Jul 23 19:06:10 <seemant>	ok, let's get started
Jul 23 19:06:16 <seemant>	hi grant, just in time
Jul 23 19:06:37 <seemant>	I'd like to just kick off with having spyderous introduce his ideas to us about user relations
Jul 23 19:06:41 <seemant>	spyderous: here?
Jul 23 19:07:26 <seemant>	just to quickly pre-cap: intro spyderous, intro stuart and his proposal (related to glep # 3 btw)
Jul 23 19:07:53 <seemant>	then we'd like to move Conflict Res. to an active subproject
Jul 23 19:07:58 <seemant>	so we'll address that
Jul 23 19:08:10 <seemant>	and an update from Brandy about User Rel side of things
Jul 23 19:08:24 <seemant>	finally, GWN announcement for DevRel in order?
Jul 23 19:08:54 <seemant>	(I'm lagging big time)
Jul 23 19:09:28 <seemant>	erm, ok, let's skip ahead to Stuart
Jul 23 19:09:30 <spyderous>	here
Jul 23 19:09:36 <seemant>	haha
Jul 23 19:09:39 <seemant>	spyderous: ok, you're up
Jul 23 19:09:40 <spyderous>	skip
Jul 23 19:09:59 <spyderous>	i'll go after stuart
Jul 23 19:10:05 <seemant>	Stuart: then you
Jul 23 19:10:14 <Stuart>	k
Jul 23 19:10:21 <Stuart>	seemant: 
Jul 23 19:10:25 <Stuart>	bah
Jul 23 19:10:46 <Stuart>	I've put together a proposal for how I personally see my role as a Gentoo Developer
Jul 23 19:11:04 <Stuart>	seemant's already circulated the URL, so I won't repeat it here
Jul 23 19:11:37 <avenj>	a non-pdf version of that would be sexy, btw - dunno if anyone's done that yet
Jul 23 19:11:47 <avenj>	actually, a guidexml version on devrel would probably be best
Jul 23 19:12:08 <Stuart>	guidexml takes too long to write
Jul 23 19:12:34 <Stuart>	and is a pain to edit ;-)
Jul 23 19:12:44 <avenj>	i can guidexmlify it at some point, just not exactly soon
Jul 23 19:12:58 <Stuart>	I'll look into writing a guidexml export filter for OO 1.1, now that I have that installed and working - that ok as a compromise?
Jul 23 19:13:21 <avenj>	whatever works
Jul 23 19:13:34 <Stuart>	grin - PDF works for most of the world ;-)
Jul 23 19:13:41 <seemant>	from the people who've read it -- I know spyderous has commented
Jul 23 19:13:54 <seemant>	Brandy: your comments from User Rel point of view?
Jul 23 19:14:23 <Brandy>	The users would *love* the ability to have their ebuilds sponsored
Jul 23 19:14:53 <Brandy>	One thing to keep in mind is what we do if/when Gentoo decides to maintain the package itself
Jul 23 19:15:08 <Brandy>	i.e. where does the user stand?
Jul 23 19:15:21 <Stuart>	mmm
Jul 23 19:15:40 <Stuart>	I don't see sponsorship as Gentoo giving up responsibility for the ebuild
Jul 23 19:16:12 <Stuart>	a sizable proportion of sponsored ebuilds will still need editing by devs before they're fit to commit
