May 17 13:59:47 <avenj>	okay, let's get started
May 17 13:59:53 <carpaski>	zhen_work: ok
May 17 14:00:22 -->	ciaranm (~ciaranm@ciaranm-gentoo.active.supporter.pdpc) has joined #gentoo-meetings
May 17 14:00:27 <avenj>	first issue is manager voting requirements; way back we decided on 100% approval, but it's always been somewhat loose
May 17 14:00:37 <pauldv>	ok
May 17 14:00:59 <avenj>	100% approval is really rough and could possibly put a big dent in progress
May 17 14:01:13 <pauldv>	I agree
May 17 14:01:20 *	dmwaters agrees to
May 17 14:01:22 *	SwifT too
May 17 14:01:33 <dmwaters>	75% might be better
May 17 14:01:41 <Method>	i have yet to see why it's a managerial issue, the developers being represented in said project are the ones who should have a say
May 17 14:01:49 <avenj>	i think we should go with a super-majority (66% or more)
May 17 14:02:01 <SwifT>	I'd say 2/3rd... it's most used afaik and democratic enough :)
May 17 14:02:04 <avenj>	Method: because other managers have to work with them -- we're talking about approval, not election per se
May 17 14:02:30 <avenj>	Method: in other words, devs can pick a manager if they like, but the existing management team (supposedly) has to approve it after that
May 17 14:02:44 <Method>	hrm, it turns into a coup then, we only let our 'friends' in who will agree with us, etc, look at what would happen to congress if that was the method
May 17 14:02:47 <SwifT>	and if it doesn't, then it should give one hell of a reason :)
May 17 14:02:54 <Method>	ok
May 17 14:02:58 <Method>	thats fair enough
May 17 14:03:02 <dmwaters>	2/3rds, nod
May 17 14:03:07 <tseng>	wfm
May 17 14:03:16 <pauldv>	I agree on 2/3th
May 17 14:03:27 -->	port001 (~port001@port001.developer.gentoo) has joined #gentoo-meetings
May 17 14:03:40 <SwifT>	klieber agrees on 2/3rd as well (he's off now but he asked me to relay his voice on the matter)
May 17 14:03:50 <carpaski>	I'm good with 2/3rds
May 17 14:04:19 <Method>	given that it is for approval *only* i agree
May 17 14:04:28 -->	beejay (~benni@beejay.developer.gentoo) has joined #gentoo-meetings
May 17 14:04:31 <pauldv>	Method: what do you mean?
May 17 14:04:39 <avenj>	pauldv: he means approval vs. appointment i think
May 17 14:04:41 <Method>	look at 10 lines up
May 17 14:05:28 <pauldv>	Method: ok
May 17 14:05:38 <SwifT>	same goes here; also for approval only - the candidate must be nominated by the project itself
May 17 14:05:58 <tseng>	while we are on that
May 17 14:06:06 -->	Kugelfang (dvandyk@pD9E1DDEA.dip.t-dialin.net) has joined #gentoo-meetings
May 17 14:06:13 <tseng>	anyone up for setting that process in stone?
May 17 14:06:22 -->	jhuebel|work (~jhuebel@216.61.131.173) has joined #gentoo-meetings
May 17 14:06:22 <avenj>	perhaps metastructure should document it?
May 17 14:06:26 <tseng>	there was some contention last time around.
May 17 14:06:51 <avenj>	or maybe g2boojum should under devrel/manager-meetings/
May 17 14:06:51 *	dmwaters nods at avenj
May 17 14:06:54 <SwifT>	avenj: process for the project nomination?
May 17 14:06:55 <pauldv>	tseng: the problem was that there was no project before
May 17 14:06:55 <avenj>	not sure
May 17 14:07:01 <tseng>	we asked ombudsman to arbitrate the vote
May 17 14:07:05 <tseng>	which I think is a good plan
May 17 14:08:15 <SwifT>	I'm fine with that, although I think a bit more "rules" should be in place (yuck, bureaucracy :)
May 17 14:08:23 <dmwaters>	hehe
May 17 14:08:32 <dmwaters>	SwifT: what kind of rules
May 17 14:08:38 <SwifT>	for instance, the project _must_ have an alias on which all participating developers are (how would you be able to contact the project otherwise?)
May 17 14:08:56 <dmwaters>	SwifT: I think we're talking about tlp's
May 17 14:09:20 <SwifT>	dmwaters: well, tlps also need a central point of communication where all participating developers are on
May 17 14:09:21 -->	esammer_ (~esammer@249-194.customer.cloud9.net) has joined #gentoo-meetings
May 17 14:09:31 <dmwaters>	SwifT: I think they already have that
May 17 14:09:34 <pauldv>	SwifT: it is about tlp's indeed. Also we might first wait for my item
May 17 14:09:47 <SwifT>	sure
May 17 14:10:01 <avenj>	yeah, let's return to this after pauldv's issue; i'd like to get the releng confirmation issue out of the way since that's the last voting issue on the agenda
May 17 14:10:05 <pauldv>	in the meantime people could take a look at: http://dev.gentoo.org/~pauldv/structure.html which is a PRELIMINARY idea about the structure
May 17 14:10:07 <SwifT>	as another "rule", I was thinking about a period in which nominations can be gathered so that the nomation process isn't rushed
May 17 14:10:22 <SwifT>	go ahead :)
May 17 14:10:41 <pauldv>	SwifT: I basically agree. We need some good nomination procedure
May 17 14:11:02 <SwifT>	let's first get releng done, then we can discuss things :)
May 17 14:11:07 <avenj>	we're missing two managers (pvdabeel from tools and seemant from qa), so we'll have to get absentee votes from them after
May 17 14:11:18 <avenj>	zhen_work: anything you want to say before we vote on it?
May 17 14:11:39 <zhen_work>	zhen_work: nope, I think that you all know my strengths and weaknesses
May 17 14:11:47 <zhen_work>	thanks though :)
May 17 14:11:51 <SwifT>	avenj: klieber's gone either; he relayed his vote through me but you'll probably want to see it as an idea, not official (just ask him later on again :)
May 17 14:12:10 <avenj>	SwifT: yeah, he gave me his also
May 17 14:12:10 <dmwaters>	avenj: seemant isn't a manager for qa, mr_bones and spanky are
May 17 14:12:15 <SwifT>	k
May 17 14:12:17 <avenj>	dmwaters: oh, the proj listing is out of date, then
May 17 14:12:26 <avenj>	dmwaters: sounds like we need to discuss qa's status at a later date
May 17 14:12:33 <avenj>	so we're missing one manager's vote, really
May 17 14:12:34 <avenj>	anyway
May 17 14:12:46 <pauldv>	dmwaters: if people mail me I can update the page
May 17 14:12:51 <avenj>	aye for yes, nay for no -- i abstain
May 17 14:12:57 <dmwaters>	pauldv: I'll get with you later
May 17 14:13:10 <SwifT>	aye
May 17 14:13:22 <pauldv>	zhen gets an ok from me
May 17 14:13:38 <tseng>	+1 for zhen
May 17 14:14:14 <dmwaters>	aye
May 17 14:15:00 <SwifT>	Method: ?
May 17 14:15:29 <Method>	aye
May 17 14:15:36 <SwifT>	anyway, klieber was against it
May 17 14:15:41 <dmwaters>	carpaski: 
May 17 14:15:53 <carpaski>	aye
May 17 14:16:05 <dmwaters>	spyderous isn't here
May 17 14:16:17 <Method>	wait, what was the question?
May 17 14:16:21 <avenj>	Method: zhen for releng lead or not
May 17 14:16:26 <SwifT>	tsss
May 17 14:16:28 <Method>	oh yea
May 17 14:16:29 *	carpaski had to double check what was going on... Little confusing... Perhaps we should call the question before voting. :-p
May 17 14:16:30 <SwifT>	:)
May 17 14:16:40 <avenj>	carpaski: sorry :)
May 17 14:16:43 *	pauldv agrees with carpaski
May 17 14:16:52 *	avenj figured people knew from the -managers post
May 17 14:17:02 <carpaski>	Yeah... but that's an assumption.
May 17 14:17:03 <SwifT>	well, if e-mail would be working again...
May 17 14:17:03 <SwifT>	:)
May 17 14:17:40 <avenj>	okay, so far we have 6 yes, one no, so we'll solicit absentee votes later
May 17 14:17:58 <avenj>	pauldv: tlp status report?
May 17 14:18:25 <zhen_work>	brb, phone
May 17 14:19:14 <pauldv>	ok. Please all check http://www.cs.kun.nl/~pauldv/structure.html (or the previous page, it is the same)
