Feb 05 19:00:21 <tseng>	sure, here we go.
Feb 05 19:00:27 <danarmak>	10... 9....\
Feb 05 19:00:35 <tseng>	ill ask that everyone be respectful to the current speaker, im sure this wont be a problem
Feb 05 19:00:36 <johnm>	carpaski: hehe, I actually have an time-source locally synced to some 20 other nodes.
Feb 05 19:00:42 <enriQUE_>	hello guys, hope its ok to lurk around here :)
Feb 05 19:00:51 *	port001 is away: gym
Feb 05 19:00:55 <tseng>	offtopic questions or anyone looking to join up, please hang on until after the meeting
Feb 05 19:01:21 <tseng>	hopefully youve all read the project page, if not, youll probably have no idea what we are talking about :)
Feb 05 19:02:04 <tseng>	the basic premise at this point is an extremely flexible backend library for building any number of installers
Feb 05 19:02:07 -->	kn0rki (~kn0rki@pD953677D.dip.t-dialin.net) has joined #gentoo-installer
Feb 05 19:02:42 <tseng>	a large ammount of the organization and planning is thanks to esammer, and it like to give him the floor for his first topic, thanks everyone for coming :)
Feb 05 19:02:53 <tseng>	s/it/id
Feb 05 19:03:22 <esammer>	hello all. i'm going to discuss the items in the email i sent to both -installer and -dev
Feb 05 19:03:44 <esammer>	the first of which is our overall design status
Feb 05 19:04:15 <esammer>	a number of documents including a rough design doc, a uml use case, and a very incomplete class diagram have been done
Feb 05 19:04:28 <esammer>	they are all available from the project page
Feb 05 19:05:02 <esammer>	there's little i can say about them that they dont' say for themselves. a little incomplete, but a basis for going forward.
Feb 05 19:05:33 <esammer>	those who are interested should read and comment on them either here or on the -installer list
Feb 05 19:05:56 <tseng>	(after the meeting)
Feb 05 19:06:00 <esammer>	in terms of design, we have a "back end" which is really just a set of APIs (in python) that cover most of the functionality
Feb 05 19:06:23 <esammer>	this supports the control logic depending on each arch and what we call arch templates
Feb 05 19:06:53 <esammer>	arch templates define all logic for each arch and the raw actions to take for said arch.
Feb 05 19:07:02 <--	acooks (~acooks@tbnb-ip-nas-1-p260.telkom-ipnet.co.za) has left #gentoo-installer ("Leaving")
Feb 05 19:07:31 <esammer>	the back end works with and can generate or "play back" install profiles that contain all info for recreating the installation (cflags, use flags, etc.)
Feb 05 19:07:46 <esammer>	the front ends are interchangable and contain all UI logic.
Feb 05 19:08:06 <esammer>	front ends will be available for text, ncurses, gtk, qt, SOAP end points - whatever you want
Feb 05 19:08:28 <esammer>	this keeps logic and control separate and makes for easy development / customization
Feb 05 19:08:52 <esammer>	that's the general overall design we have in a nutshell.
Feb 05 19:09:05 <--	kn0rki (~kn0rki@pD953677D.dip.t-dialin.net) has left #gentoo-installer ("Leaving")
Feb 05 19:09:07 <esammer>	of course, there's a lot more to it than that, but the docs will go into greater detail
Feb 05 19:09:48 <esammer>	tseng: unless there's something to add, i'll move along down the rest of the items (which are shorter, i promise)
Feb 05 19:09:59 <tseng>	sounds good.
Feb 05 19:10:08 <esammer>	ok. moving along.
Feb 05 19:10:57 <esammer>	the features we have are what you'd expect. they do not remove any flexibility (or that is the aim) from the current process.
Feb 05 19:11:15 <esammer>	section 2 of http://www.gentoo.org/proj/en/releng/installer/design.xml lists the big ones
